year,drug_name,drug_link,drug_info,indication,stn,manufacturer,manufacturer_info,license_num,approval_date,biologics_id
1996,Blood Grouping Reagent (Monoclonal) (For Further Manufacturing Use),,,"Shared manufacturing arrangement with Immucor, Inc",,"Sanofi Diagnostics Pasteur, SA","Sanofi Diagnostics Pasteur, SAParc Hightec 9 Avenue du Canada Batiment LATITUDE-B.P.35491966 LES ULIS CEDEXFRANCELicense 1198",1198,1996-01-03,0
1996,Respigam,,Respiratory Syncytial Virus Immune Globulin Intravenous (Human),Prevention of serious lower respiratory tract infection in children less than 24 months of age,,Massachusetts Public Health Biologic Labs,"Massachusetts Public Health Biologic Labs305 South StreetBoston, MA 02130License 0064",0064,1996-01-18,1
1996,Source Plasma,,,For further manufacture,,BioMune Corp,"BioMune CorpPost Office Box 310701Boca Raton, FL 33431-0701License 1200",1200,1996-02-05,2
1996,Red Blood Cells,,,Transfusion,,"South Bend Medical Foundation, Inc","South Bend Medical Foundation, Inc530 N. Lafayette BlvdSouth Bend, IN 46601License 0248",0248,1996-03-05,3
1996,Plasma,,,Transfusion,,Community Blood Bank of Lancaster County,"Community Blood Bank of Lancaster CountyMedical Society2966 ""O"" StreetLincoln, NE 68510License 0695",0695,1996-03-05,4
1996,Coulter HIV-1 p24 Antigen Assay Neutralization Kit,,Antibody to HIV-1 p24 Antigen (Murine Monoclonal),In-vitro diagnostic test kit used in the detection of HIV Type 1 Antigen,,Coulter Corp,"Coulter CorpMC 31-B06, P.O. Box 169015Miami, FL 33116-9015License 1185",1185,1996-03-14,5
1996,Plasma,,,Transfusion,,Blood Bank of the Redwoods,"Blood Bank of the Redwoods2324 Bethards DrSanta Rosa, CA 95405-8537License 0197",0197,1996-03-15,6
1996,VAQTA,https://wayback.archive-it.org/7993/20170112095444/http://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm110017.htm,Heptatitis A Vaccine Inactivated,Immunization against hepatitis A in children over 6 years of age,,"Merck &amp; Co, Inc","Merck & Co, IncSumneytown PikeWest Point, PA 19486License 0002",0002,1996-03-29,7
1996,Reverse-Cyte,,Reagent Red Blood Cells,In vitro diagnostic test kit,,Dade AG,Dade AGBonnstrasse 93186 DudingenSWITZERLANDLicense 1138,1138,1996-04-03,8
1996,Platelets,,,Transfusion,,Blood Bank of San Bernardino and Riverside Counties,"Blood Bank of San Bernardino and Riverside Counties384 Orange Show RoadSan Bernardino, CA 92412License 0226",0226,1996-04-25,9
1996,Source Leukocytes,,,Transfusion,,"Florida Georgia Blood Blood Alliance, Inc","Florida Georgia Blood Blood Alliance, Inc536 West 10th StreetJacksonville, FL 32206License 0181",0181,1996-05-06,10
1996,Source Plasma,,,For further manufacture,,"Green Street Biologicals, Inc","Green Street Biologicals, Inc105 Chapel DriveLafayette, LA 70506License 1203",1203,1996-05-06,11
1996,Cryoprecipitated AHF,,,Transfusion,,"Civitan Regional Blood Center, Inc","Civitan Regional Blood Center, Inc1221 NW 13th StreetGainesville, FL 32601License 0843",0843,1996-06-26,12
1996,Cryoprecipitated AHF,,,Transfusion,,Central Blood Bank,"Central Blood Bank812 Fifth AvenuePittsburgh, PA 15219License 0234",0234,1996-06-26,13
1996,Immu-4 Bulk (For Further Manufacturing Use),,,"Shared manufacturing arrangement with Immunomedics, Inc",,"Charles River Div.of Wilmington Partners, LP","Charles River Div.of Wilmington Partners, LP251 Ballardvale StreetWilmington, MA 01887License 1206",1206,1996-06-28,14
1996,Plasma,,,Transfusion,,Blood Bank of San Bernardino and Riverside Counties,"Blood Bank of San Bernardino and Riverside Counties384 Orange Show RoadSan Bernardino, CA 92412License 0226",0226,1996-08-06,15
1996,Calypte HIV-1 Urine EIA,,HIV-Type 1 (Recombinant),In vitro diagnostic test kit used in the detection of antibodies to HIV-1 present in urine,,Calypte Biomedical Corp,"Calypte Biomedical Corp1440 Fourth Street,Berkeley, CA 94701License 1207",1207,1996-08-06,16
1996,Antihemophilic Factor (Human),,,Treatment of patients with hemophilia A,,Centeon Pharma GmbH,Centeon Pharma GmbHPost Office Box 1230D-35002 MarburgGERMANYLicense 1202,1202,1996-08-22,17
1996,Plasma,,,Transfusion,,"Am-Rho Laboratories,Inc","Am-Rho Laboratories,Inc780 N. Park BlvdSuite 100Clarkston, GA 30021License 0991",0991,1996-08-22,18
1996,Therapeutic Exchange Plasma,,,Collection of plasma from patients diagnosed with Guillain-Barre and who have developed high titers of IgM antibody to Cytomegalovirus,,Community Blood Center of Greater Kansas City,"Community Blood Center of Greater Kansas City4040 Main StreetKansas City, MO 64111License 0302",0302,1996-09-03,19
1996,Whole Blood,,,Transfusion,,Sitka Community Hospital,"Sitka Community Hospital209 Moller StreetSitka, AK 99835License 1210",1210,1996-09-03,20
1996,RSV High Titer Fraction II+III Paste (For Further Manufacturing Use),,,Shared manufacturing arrangement with Massachusetts Public Health Biologic Labs,,Baxter Heathcare Corp,"Baxter Heathcare Corp305 South StreetBoston, MA 02130License 0140",0140,1996-09-10,21
1996,COMVAX,https://wayback.archive-it.org/7993/20170112095444/http://www.fda.gov/BiologicsBloodVaccines/Vaccines/ApprovedProducts/ucm174757.htm,Haemophilus b Conjugate (Meningococcal Protein Conjugate) and Hepatitis B (Recombinant) Vaccine,Immunization of persons 6 weeks to 15 months of age born of Hepatitis B Surface Antigen (HBsAg) negative mothers,,"Merck &amp; Co, Inc","Merck & Co, IncSumneytown PikeWest Point, PA 19486License 0002",0002,1996-10-02,22
1996,Cryoprecipitated AHF,,,Control bleeding associated with Factor VIII deficiency,,Blood Bank of the Redwoods,"Blood Bank of the Redwoods2324 Bethards DriveSanta Rosa, CA95405-8537License 0197",0197,1996-10-03,23
1996,Red Blood Cells,,,Transfusion,,Littleton Regional Hosptial,"Littleton Regional Hosptial107 Cottage StreetLittleton, NH 03561License 1213",1213,1996-10-10,24
1996,Whole Blood,,,Transfusion,,Littleton Regional Hospital,"Littleton Regional Hospital107 Cottage StreetLittleton, NH 03561License 1213",1213,1996-10-10,25
1996,Whole Blood,,,Transfusion,,South East Alaska Regional Health Consortium,"South East Alaska Regional Health Consortium222 Tongass DriveSitka, AK 99835License 1212",1212,1996-10-10,26
1996,Source Plasma,,,For Further Manufacture,,"Decatur Plasma, Inc","Decatur Plasma, Inc105 Chapel DriveLafayette, LA 70506License 1214",1214,1996-10-21,27
1996,Source Plasma,,,For Further Manufacture,,Atopix Pharma Corp,"Atopix Pharma Corp5375 Avenida EncinasSuite BCarlsbad, CA 92008License 1215",1215,1996-10-21,28
1996,Source Leukocytes,,,Transfusion,,"The Blood Center of New Jersey, Inc","The Blood Center of New Jersey, Inc45 South Grove StEast Orange, NJ 07018License 0221",0221,1996-11-13,29
1996,Plasma,,,Transfusion,,Puget Sound Blood Center,"Puget Sound Blood Center921 Terry AvenueSeattle, WA 98104License 0192",0192,1996-11-21,30
