year,year_approval_count,drug_name,active_ingredient,approval_date,approved_use,drug_link,press_release,drug_trials_snapshot
2012,1,Voraxaze,glucarpidase,2012-01-17,To treat patients with toxic levels of methotrexate in their blood due to kidney failure. Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=125327&SearchType=BasicSearch,,
2012,2,Picato,ingenol mebutate,2012-01-23,For the topical treatment of actinic keratosis.,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202833&SearchType=BasicSearch,,
2012,3,Inlyta,axitinib,2012-01-27,To treat patients with advanced kidney cancer (renal cell carcinoma) who have not responded to another drug for this type of cancer.Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202324&SearchType=BasicSearch,,
2012,4,Erivedge,vismodegib,2012-01-30,"To treat adult patients with basal cell carcinoma, the most common type of skin cancer.Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=203388&SearchType=BasicSearch,,
2012,5,Kalydeco,ivacaftor,2012-01-31,For the treatment of a rare form of cystic fibrosis (CF) in patients ages 6 years and older who have the specific G551D mutation in the Cystic Fibrosis Transmembrane Regulator (CFTR) gene. Press Release,,,
2012,6,Zioptan,tafluprost,2012-02-10,For reducing elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension.Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202514&SearchType=BasicSearch,,
2012,7,Surfaxin,lucinactant,2012-03-06,"For the prevention of respiratory distress syndrome (RDS), a breathing disorder that affects premature infants.Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=021746&SearchType=BasicSearch,,
2012,8,Omontys,peginesatide,2012-03-27,"To treat anemia, a condition in which the body does not have enough healthy red blood cells, in adult dialysis patients who have chronic kidney disease (CKD).Press Release",http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202799&SearchType=BasicSearch,,
2012,9,Amyvid,Florbetapir F 18,2012-04-06,Used as a radioactive diagnostic agent for Positron Emission Tomography (PET) imaging of the brain to estimate β-amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer’s Disease (AD) and other causes of cognitive decline.,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202008&SearchType=BasicSearch,,
2012,10,Stendra,avanafil,2012-04-27,To treat erectile dysfunction.Press Release,http://wayback.archive-it.org/7993/20161022052138/http://www.accessdata.fda.gov/scripts/cder/drugsatfda/index.cfm?fuseaction=Search.SearchAction&searchTerm=202276&SearchType=BasicSearch,,
